"CP","nsplit","rel error","xerror","xstd"
0.38908703990439,0,1,1.00003445443957,0.0176849680203292
0.0645763283291908,1,0.61091296009561,0.611506613683349,0.0149209494540682
0.0431768081582976,2,0.546336631766419,0.547588389739852,0.0149138263719124
0.0197195258674954,3,0.503159823608122,0.504009657315861,0.0146562170061793
0.0185458445894838,4,0.483440297740627,0.482949325871849,0.0143145241491884
0.0164825642604205,5,0.464894453151143,0.466368552680299,0.0137968726405935
0.0164790794092171,6,0.448411888890722,0.455553770048984,0.0136061005134743
0.0138460185976673,8,0.415453730072288,0.417809290201646,0.0128232596228067
0.0118714792449824,9,0.401607711474621,0.404581333694135,0.0127926968806996
0.0109950160181941,10,0.389736232229638,0.395977849589009,0.0123939384605831
0.0101633725396998,11,0.378741216211444,0.384109187962768,0.0121301475326381
0.01,12,0.368577843671745,0.370791573981789,0.0115218741255507
